epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,3643.32,0.87992,0.53918,0.95485,0.9093,0.84495,0.8967,0.66347,0.79621,0.45134,0.94169,0.007459,0.007459,0.007459
156,3666.83,0.88699,0.53488,0.94388,0.90664,0.8445,0.89824,0.65902,0.81718,0.45458,0.94351,0.0074425,0.0074425,0.0074425
157,3690.3,0.85058,0.52522,0.95351,0.91129,0.83832,0.89599,0.65387,0.80891,0.45307,0.9408,0.007426,0.007426,0.007426
158,3713.72,0.87108,0.53622,0.95531,0.91983,0.81739,0.89007,0.65633,0.80049,0.45882,0.94243,0.0074095,0.0074095,0.0074095
159,3737.7,0.84813,0.52443,0.93793,0.91755,0.82974,0.89692,0.65309,0.81094,0.46088,0.94548,0.007393,0.007393,0.007393
160,3761.17,0.85607,0.5241,0.95164,0.91714,0.84033,0.90237,0.65104,0.80858,0.4603,0.9414,0.0073765,0.0073765,0.0073765
161,3784.55,0.849,0.5229,0.93225,0.92409,0.81747,0.89803,0.65655,0.7951,0.45298,0.93997,0.00736,0.00736,0.00736
162,3807.93,0.87271,0.53714,0.95067,0.90865,0.85815,0.90201,0.6594,0.8027,0.45162,0.93986,0.0073435,0.0073435,0.0073435
163,3831.25,0.87556,0.5263,0.94858,0.92496,0.82976,0.90142,0.65866,0.79431,0.46242,0.94024,0.007327,0.007327,0.007327
164,3854.64,0.88917,0.53814,0.95116,0.87778,0.85062,0.89091,0.65074,0.80017,0.45435,0.93726,0.0073105,0.0073105,0.0073105
165,3877.92,0.89257,0.5414,0.95322,0.896,0.83494,0.89635,0.64614,0.80599,0.45804,0.94111,0.007294,0.007294,0.007294
166,3900.9,0.87092,0.53344,0.9515,0.92279,0.84169,0.90188,0.65492,0.80263,0.45258,0.94194,0.0072775,0.0072775,0.0072775
167,3924.18,0.85394,0.52077,0.94967,0.8888,0.85022,0.90118,0.66289,0.79667,0.45822,0.93758,0.007261,0.007261,0.007261
168,3947.47,0.87952,0.52586,0.94784,0.92365,0.81458,0.89671,0.65648,0.80687,0.45802,0.94173,0.0072445,0.0072445,0.0072445
169,3971.14,0.86792,0.53037,0.94411,0.89775,0.85522,0.9075,0.65971,0.79878,0.44928,0.94039,0.007228,0.007228,0.007228
170,3994.65,0.87067,0.52659,0.94609,0.91274,0.84182,0.90285,0.66345,0.79438,0.45896,0.93629,0.0072115,0.0072115,0.0072115
171,4018.03,0.86528,0.5311,0.95459,0.89215,0.86267,0.90653,0.66145,0.80131,0.45676,0.93918,0.007195,0.007195,0.007195
172,4041.42,0.83989,0.52738,0.94846,0.91253,0.84744,0.89574,0.65345,0.78871,0.44982,0.93397,0.0071785,0.0071785,0.0071785
173,4064.75,0.88779,0.53506,0.95791,0.9044,0.85192,0.90706,0.66242,0.80594,0.45459,0.9346,0.007162,0.007162,0.007162
174,4088.15,0.8739,0.53908,0.93869,0.90959,0.86081,0.90844,0.66669,0.79177,0.44548,0.93487,0.0071455,0.0071455,0.0071455
175,4111.81,0.8723,0.5371,0.94404,0.90413,0.85259,0.90624,0.66476,0.79916,0.45439,0.93607,0.007129,0.007129,0.007129
176,4135.12,0.86026,0.52555,0.9478,0.92923,0.84185,0.9064,0.65206,0.80363,0.45105,0.93472,0.0071125,0.0071125,0.0071125
177,4158.62,0.87834,0.53689,0.94432,0.89989,0.86181,0.90756,0.65783,0.79512,0.44621,0.93754,0.007096,0.007096,0.007096
178,4182.04,0.86904,0.53751,0.94271,0.91662,0.8483,0.90184,0.65702,0.79459,0.4448,0.93486,0.0070795,0.0070795,0.0070795
179,4205.42,0.84593,0.51227,0.94049,0.92598,0.84405,0.90708,0.65999,0.79342,0.44997,0.93952,0.007063,0.007063,0.007063
180,4228.71,0.8432,0.52029,0.93492,0.90908,0.86006,0.90892,0.64938,0.79098,0.44338,0.93211,0.0070465,0.0070465,0.0070465
181,4252.17,0.86892,0.52143,0.94411,0.91539,0.83961,0.90706,0.65933,0.78942,0.44056,0.93334,0.00703,0.00703,0.00703
